tire_id,ust_file,alt_file,ust_status,alt_status,elapsed_s,ebat,ebat_conf,hiz_grubu,hiz_grubu_conf,marka,marka_conf,desen,desen_conf,mevsim,mevsim_conf,dot,dot_conf,ekstra_lot,uretim_yeri,uretim_yeri_conf,tup,tup_conf
49,Ust_49.jpg,Alt_49.jpg,ok,ok,59.3,205/55 R16,3.25,H,0.82,Continental,12.34,PremiumContact 6,6.39,Yaz,3.43,5025,1.02,032PFY | S2W2R3B | 1POLYESTER | 55R16 | 1POIOE,Iisni,1.13,Tüpsüz,2.23
50,Ust_50.jpg,Alt_50.jpg,ok,ok,61.8,155/70 R13,2.17,75T,1.1,Continental,17.51,EcoContact 6,8.11,Yaz,5.32,1526,1.85,03H536 | 1POLYESTER | 70R13 | COCONTACT6 | S2W2R3B | 3H536,Romania,2.3,Tüpsüz,3.28
51,Ust_51.jpg,Alt_51.jpg,ok,ok,55.0,155/70 R13,6.08,75T,2.95,Continental,15.63,EcoContact 6,5.2,Yaz,3.66,1526,0.96,03H536 | HTACT6 | S2W2R3 | S2W2R3B | 14A010 | 2W2R3B,Romania,2.29,Tüpsüz,4.25
52,Ust_52.jpg,Alt_52.jpg,ok,ok,70.4,185/60 R15,6.34,88V,2.0,Waterfall,10.67,Eco Dynamic,4.68,Yaz,2.55,0726,1.01,60R15 | S2WR2 | 489 | 3EADS,Turkey,3.33,Tüpsüz,3.26
53,Ust_53.jpg,Alt_53.jpg,ok,ok,68.6,185/60 R15,4.33,M,1.47,Waterfall,6.32,Eco Dynamic,3.57,4 Mevsim,4.32,4890,3.41,60R15 | S2WR2 | 4890 | ECO | DYNAMI | HYBL,Turkey,4.33,Tüpsüz,4.19
54,Ust_54.jpg,Alt_54.jpg,ok,ok,65.5,185/60 R15,4.37,M,1.49,Waterfall,9.04,Eco Dynamic,3.51,4 Mevsim,4.35,4890,3.41,60R15 | S2WR2 | 4890 | HYBL | ECO | DYNAMI,Turkey,3.3,Tüpsüz,3.22
55,Ust_55.jpg,Alt_55.jpg,ok,ok,51.3,185/60 R15,6.31,490DT,1.09,Maxxis,5.2,Eco Dynamic,0.57,Yaz,1.78,4890,3.41,60R15 | 4890 | HYBL | 185 | 88V | EO,Turkey,3.26,Tüpsüz,1.23
56,Ust_56.jpg,Alt_56.jpg,okunamadi,okunamadi,0.3,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0
57,Ust_57.jpg,Alt_57.jpg,ok,ok,61.2,155/70 R13,6.27,75T,3.0,Continental,11.33,EcoContact 6,7.33,Yaz,3.58,1526,0.98,S2W2R3B | 03H536 | 03H5361526 | 70R13 | 1POLYESTER,Romania,2.12,Tüpsüz,4.33
58,Ust_58.jpg,Alt_58.jpg,ok,ok,68.3,185/60 R15,6.42,88V,2.04,Waterfall,10.89,Eco Dynamic,4.69,Yaz,2.55,4890,1.78,60R15 | S2WR2 | 48 | 4890 | HYBL | 0726,Turkey,4.42,Tüpsüz,3.29
