tire_id,ust_file,alt_file,ust_status,alt_status,elapsed_s,ebat,ebat_conf,hiz_grubu,hiz_grubu_conf,marka,marka_conf,desen,desen_conf,mevsim,mevsim_conf,dot,dot_conf,ekstra_lot,uretim_yeri,uretim_yeri_conf,tup,tup_conf
51,Ust_51.jpg,Alt_51.jpg,ok,ok,18.5,155/70 R13,3.79,75T,1.69,Continental,15.17,EcoContact 6,9.94,Yaz,4.3,1526,0.47,26603H536 | 1POLYESTER | 1POLYAMIDE | 853LB | 70R13 | 70R13T,Romania,1.93,Tüpsüz,5.58
52,Ust_52.jpg,Alt_52.jpg,ok,ok,17.5,185/60 R15,6.81,M,2.22,Waterfall,4.87,Eco Dynamic,5.96,4 Mevsim,3.28,0726,1.45,60R15 | 1NYLON | AT340KPA | S2WR2 | 489 | 1235LBS,Turkey,2.38,Tüpsüz,4.68
53,Ust_53.jpg,Alt_53.jpg,ok,ok,18.4,185/60 R15,3.98,A,0.84,General Tire,5.11,Altimax One,2.23,4 Mevsim,3.22,4890,5.23,60R15 | 4890 | DYNAMI | ECO | HYBL | 185,Turke,1.02,Tüpsüz,5.63
54,Ust_54.jpg,Alt_54.jpg,ok,ok,18.0,185/60 R15,3.33,88V,1.49,General Tire,5.13,Altimax One,1.48,4 Mevsim,4.08,4890,3.43,60R15 | DYNAMI | 185 | 4890 | ECO | HYBL,Turkey,2.7,Tüpsüz,4.61
55,Ust_55.jpg,Alt_55.jpg,ok,ok,16.9,185/60 R15,5.28,A,0.81,Waterfall,3.1,Eco Dynamic,7.32,Yaz,3.25,4890,4.76,60R15 | 4890 | HYBL | 185 | ECO | LOAD560KG,Turkey,2.66,Tüpsüz,1.07
56,Ust_56.jpg,Alt_56.jpg,okunamadi,okunamadi,0.4,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0
57,Ust_57.jpg,Alt_57.jpg,ok,ok,19.3,155/70 R13,0.87,04L,0.53,Continental,9.59,EcoContact 6,5.35,Yaz,2.48,2320,0.51,70R1375T | 853LB | 1POLYESTER | 70R13T | 03H536 | 50V38,Romania,1.05,Tüpsüz,3.71
58,Ust_58.jpg,Alt_58.jpg,ok,ok,18.7,185/60 R15,6.6,88V,1.3,General Tire,8.06,Altimax One,3.56,4 Mevsim,3.26,4890,2.95,60R15 | 1POLYESTER | 4890 | HYBL | 0726 | 185,Turkey,3.26,Tüpsüz,4.64
59,Ust_59.jpg,Alt_59.jpg,ok,ok,19.7,,0.0,,0.0,Continental,6.07,PremiumContact 6,2.09,Yaz,0.8,5025,0.84,55R16H | 1HI032PFY | MCONTACT7 | S1PSI | 1POLYESTER | 032PFY5025,,0.0,Tüpsüz,0.98
60,Ust_60.jpg,Alt_60.jpg,ok,ok,14.7,185/65 R14,1.87,90H,1.73,Lassa,5.25,Multiways 2,7.05,4 Mevsim,8.36,,0.0,MLTW2 | 65R14 | WAYS2 | 7VIAVA | LOAD600KG | 1323IB,Turkey,2.64,Tüpsüz,4.75
